file_id,source_id,id_lotto,cig,oggetto,sceltaContraente,importoAggiudicazione,Column,importoSommeLiquidate,cfStrutturaProponente,strutturaProponente,dataInizio,dataUltimazione,dataUltimoAggiornamentoDataset,Column 15,
c41b550395b21d3691fc869480e645ab,1825570854,1613cade65b93d01598dc6df587e9f15f84f815e,ZZ1407C896,FORNITURA INFISSI IN ALLUMINIO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,5178,,6266,1825570854,ASP Caltanissetta,2012-12-12,2012-12-31,2014-01-31,,
7ef6205993d555649d9a65f0f6109aa9,1151150867,4e7b4979634a483b7ffe0243b27c081b9b09b52c,ZFA0E99976,DELIBERA N.1483 DEL 26/08/14,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,850,,850,1151150867,AZIENDA SANITARIA PROVINCIALE DI ENNA,2014-07-09,2014-12-31,2015-01-21,,
7ef6205993d555649d9a65f0f6109aa9,1151150867,35f4c2bc7bb1c8323f784ab68ad8ab0fe56433f5,ZF90C8D352,DITTA LOGIC SRL ACQUISTO CAVI E SENSORI PRONTO SOCCORSO ENNA,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,535,96,,241,23,1151150867,AZIENDA SANITARIA PROVINCIALE DI ENNA,2014-01-27,,2015-01-21
c41b550395b21d3691fc869480e645ab,1825570854,e654980d401c05c96220b5856fa0dfeeb1010156,ZF90A9329C,ACQUISTO DI PROTESI MAMMARIE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,4617,,0,1825570854,ASP Caltanissetta,2013-09-10,2013-12-31,2014-01-31,,
7ef6205993d555649d9a65f0f6109aa9,1151150867,68b07ac37442c8a9f2ba2629ac81f71754de099f,ZF81102B39,FORNITURA SOFTWARE IN COMODATO D'USO C/O NEUROPSICHIATRIA INFANTILE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,400,,353,8,1151150867,AZIENDA SANITARIA PROVINCIALE DI ENNA,2014-09-14,2015-09-13,2015-01-21,
daad42352210213a007836a04f00f709,2570930848,f8ab653d08a102bdce3c35cd6e56089c49df891e,ZF80ED396D,Intervento tecnico sostituzione serratura porta Rei Ingresso alloggio suore del P.O. di Sciacca.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,109,8,,0,2570930848,ASP di Agrigento,2014-04-15,2014-12-31,2014-12-31,
e1fe3e52826c73702068a57bafc986a1,2363280815,3a2b0142e45239a174894b1c21f9441402ab79cf,ZF80EC21FE,Nullo,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,12420,,6458,4,2363280815,ASP di Trapani,2014-05-01,2015-04-30,2015-01-30,
daad42352210213a007836a04f00f709,2570930848,5018b37dd3bc0de8d2e8636b4aaf82cb0db5af25,ZF70FCD0A5,Riparazione Voltametro Polarografo e Cromatografo ionico cationi in dotazione al Laboratorio Sanita Pubblica di Agrigento.,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,3580,,0,2570930848,ASP di Agrigento,2014-06-24,2014-12-31,2014-12-31,,
daad42352210213a007836a04f00f709,2570930848,80cea21812b509582735192d86b3958beaeb7e45,ZF70BD4A97,PROCEDURA NEGOZIATA FORNITURA REATTIVI PER LSP,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,1630,,1630,2570930848,ASP di Agrigento,2013-10-09,2013-10-28,2014-12-31,,
552f4ef1befef8e02a7afdfd7df1f33c,2363280815,922e9b2365b19d85e8a153d9fcb010bebbac429a,ZF70B85FAB,Dispositivo intrauterino contraccettivo - IUD a forma di T di polietilene superficie di rame mmq 380,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,5400,,0,2363280815,ASP di Trapani,2013-12-10,2013-12-31,2015-01-30,,
